Rank,Geographic Area,"April 1, 2020Estimates Base",2020,2021,2022,Population 2023
277,"Everett city, Washington","110,606","110,893","111,105","111,584","111,180"
278,"Pueblo city, Colorado","111,871","111,899","111,976","111,418","111,077"
279,"New Braunfels city, Texas","90,408","91,643","99,075","104,729","110,958"
280,"South Fulton city, Georgia","108,050","108,211","109,299","111,030","110,920"
281,"Miami Gardens city, Florida","111,636","111,477","111,607","110,586","110,717"
282,"Gresham city, Oregon","114,249","114,470","113,108","111,544","110,685"
283,"Temecula city, California","109,994","110,094","111,026","110,860","110,682"
284,"Rio Rancho city, New Mexico","104,044","104,433","106,288","108,755","110,660"
285,"Peoria city, Illinois","113,174","112,845","111,787","110,777","110,460"
286,"Tyler city, Texas","105,982","106,272","107,378","109,352","110,327"
287,"Sparks city, Nevada","108,463","108,889","109,697","109,293","110,323"
288,"Concord city, North Carolina","105,307","104,885","107,011","108,693","110,119"
289,"Santa Maria city, California","109,697","109,782","110,106","110,088","109,987"
290,"San Buenaventura (Ventura) city, California","110,738","110,620","110,019","108,900","109,058"
291,"Buckeye city, Arizona","91,539","93,761","101,708","105,544","108,909"
292,"Downey city, California","114,354","113,964","111,634","109,932","108,816"
293,"Sugar Land city, Texas","111,026","110,824","109,629","109,414","108,515"
294,"Costa Mesa city, California","111,923","111,781","110,789","109,548","108,354"
295,"Conroe city, Texas","89,995","91,255","95,513","101,559","108,248"
296,"Spokane Valley city, Washington","102,983","103,531","106,012","107,377","108,235"
297,"Davie town, Florida","105,704","106,030","105,870","106,673","107,799"
298,"Hillsboro city, Oregon","106,439","106,990","106,914","107,281","107,730"
299,"Jurupa Valley city, California","105,052","105,356","106,874","107,113","107,321"
300,"Centennial city, Colorado","108,425","108,196","107,384","105,944","106,883"
301,"Boulder city, Colorado","108,254","108,123","104,008","105,620","105,898"
302,"Dearborn city, Michigan","109,961","109,620","108,408","106,882","105,811"
303,"Edinburg city, Texas","100,265","100,711","102,971","104,299","105,799"
304,"Sandy Springs city, Georgia","108,067","108,167","107,295","107,634","105,793"
305,"Green Bay city, Wisconsin","107,371","107,271","106,387","106,121","105,744"
306,"West Covina city, California","109,503","109,153","106,899","105,703","105,617"
307,"Brockton city, Massachusetts","105,659","105,511","105,542","104,891","104,890"
308,"St. George city, Utah","95,344","96,039","100,210","102,561","104,578"
309,"Bend city, Oregon","99,210","99,674","102,391","103,219","104,557"
310,"Renton city, Washington","106,839","106,719","105,467","104,067","104,491"
311,"Lee's Summit city, Missouri","101,123","101,621","102,883","103,409","104,184"
312,"Fishers city, Indiana","99,046","99,481","101,444","102,150","104,094"
313,"El Monte city, California","109,445","109,087","106,841","105,052","103,794"
314,"South Bend city, Indiana","103,436","103,335","103,137","103,126","103,395"
315,"Rialto city, California","104,047","104,077","104,235","103,853","103,391"
316,"El Cajon city, California","106,187","106,075","105,198","104,042","102,991"
317,"Inglewood city, California","107,765","107,393","105,307","103,847","102,865"
318,"Burbank city, California","107,332","107,005","104,925","103,507","102,755"
319,"Wichita Falls city, Texas","102,288","102,480","102,803","102,699","102,691"
320,"Vacaville city, California","102,386","102,092","101,927","101,956","102,526"
321,"Carmel city, Indiana","99,752","99,905","101,045","102,128","102,296"
322,"Palm Coast city, Florida","89,248","89,739","93,805","98,455","102,113"
323,"Fayetteville city, Arkansas","94,312","94,783","97,360","99,688","101,680"
324,"Quincy city, Massachusetts","101,614","101,482","101,163","101,814","101,597"
325,"San Mateo city, California","105,665","105,656","102,913","101,567","101,327"
326,"Chico city, California","103,277","102,755","100,508","101,758","101,301"
327,"Lynn city, Massachusetts","101,264","101,103","101,001","100,879","101,241"
328,"Albany city, New York","99,239","98,682","100,710","100,884","101,228"
329,"Yuma city, Arizona","97,285","97,540","98,256","99,589","100,858"
330,"New Bedford city, Massachusetts","101,088","100,993","100,991","100,633","100,695"
331,"Suffolk city, Virginia","94,370","94,750","96,337","98,426","100,659"
332,"Hesperia city, California","99,838","99,984","100,463","100,489","100,633"
333,"Davenport city, Iowa","101,727","101,651","101,041","100,339","100,354"
334,"Boca Raton city, Florida","97,436","98,246","98,810","99,710","99,974"
335,"Daly City city, California","104,973","104,858","101,856","100,329","99,833"
336,"San Angelo city, Texas","99,908","100,066","99,404","99,126","99,262"
337,"Deltona city, Florida","93,701","94,044","95,459","97,305","98,739"
338,"Longmont city, Colorado","98,905","99,188","99,722","98,809","98,630"
339,"Vista city, California","98,411","98,508","98,942","98,881","98,344"
340,"Kenosha city, Wisconsin","99,983","99,909","99,238","98,382","98,211"
341,"Edmond city, Oklahoma","94,427","94,748","95,374","96,339","98,103"
342,"Norwalk city, California","102,763","102,405","100,479","99,079","98,078"
343,"Tracy city, California","93,119","93,620","95,564","96,783","98,010"
344,"Federal Way city, Washington","101,024","100,988","99,324","97,881","97,701"
345,"Fort Myers city, Florida","86,404","87,279","93,302","95,930","97,372"
346,"Roanoke city, Virginia","100,014","99,891","98,700","97,657","97,171"
347,"Beaverton city, Oregon","97,509","97,510","98,462","97,051","96,945"
348,"Sunrise city, Florida","97,311","97,112","96,218","96,300","96,808"
349,"Portsmouth city, Virginia","97,912","97,955","97,652","96,954","96,793"
350,"Yakima city, Washington","96,975","97,063","96,794","96,825","96,750"
351,"Plantation city, Florida","91,748","92,052","93,169","95,994","96,548"
352,"Georgetown city, Texas","67,464","68,749","75,995","87,062","96,312"
353,"Lawrence city, Kansas","94,928","94,931","95,386","95,831","96,207"
354,"Orem city, Utah","98,137","98,432","98,192","95,990","95,519"
355,"Mount Pleasant town, South Carolina","90,966","91,225","92,955","94,643","95,232"
356,"Asheville city, North Carolina","94,763","94,575","94,388","94,015","95,056"
357,"Reading city, Pennsylvania","95,098","94,977","94,943","94,847","94,903"
358,"Bellingham city, Washington","91,481","91,871","90,202","93,942","94,720"
359,"San Marcos city, California","94,861","94,849","93,263","93,895","94,188"
360,"O'Fallon city, Missouri","91,332","91,621","93,694","93,649","94,074"
361,"Fall River city, Massachusetts","93,984","93,940","93,936","93,636","93,840"
362,"Merced city, California","86,369","86,893","89,954","92,088","93,692"
363,"Avondale city, Arizona","89,343","89,568","90,492","91,582","93,545"
364,"Chino city, California","91,389","91,038","91,632","93,055","93,114"
365,"Temple city, Texas","82,073","82,652","85,614","89,528","93,095"
366,"Indio city, California","89,127","89,320","90,717","91,672","93,057"
367,"Erie city, Pennsylvania","94,852","94,713","94,141","93,595","92,957"
368,"Redding city, California","93,603","93,510","93,556","92,959","92,727"
369,"Norwalk city, Connecticut","91,188","90,891","91,440","91,390","92,458"
370,"Hoover city, Alabama","92,624","92,738","92,646","92,406","92,448"
371,"Hemet city, California","89,818","89,881","90,708","91,288","92,368"
372,"Livonia city, Michigan","95,529","95,240","94,325","93,057","92,185"
373,"Sandy city, Utah","97,251","96,925","95,070","92,990","91,943"
374,"Roswell city, Georgia","92,836","92,944","92,624","92,876","91,706"
375,"Kirkland city, Washington","92,164","92,739","91,404","90,856","91,194"
376,"Carson city, California","95,548","95,388","93,218","92,113","91,139"
377,"Manteca city, California","83,501","84,009","86,393","88,669","91,059"
378,"Nashua city, New Hampshire","91,334","91,199","91,291","91,333","91,003"
379,"Compton city, California","95,720","95,394","93,327","91,829","90,986"
380,"Mission Viejo city, California","93,636","93,457","92,494","91,515","90,624"
381,"Lawton city, Oklahoma","90,387","90,359","91,158","90,849","90,245"
382,"Lehi city, Utah","75,912","76,854","79,946","84,378","90,227"
383,"South Gate city, California","92,727","92,660","91,881","91,055","90,070"
384,"Greenville city, North Carolina","87,640","87,642","88,390","89,304","90,053"
385,"Santa Monica city, California","93,074","92,913","91,311","90,216","89,922"
386,"Fort Smith city, Arkansas","89,141","89,153","89,500","90,080","89,770"
387,"Trenton city, New Jersey","90,858","90,592","90,053","89,535","89,620"
388,"Bryan city, Texas","83,967","84,334","85,262","87,830","89,615"
389,"Champaign city, Illinois","88,297","88,368","89,293","89,082","89,189"
